_id,name,used_in,type,subtype,rarity,category,weight,price_value,price_denomination,shelfLife,description,img,tables,source_file,crafting_use,crafting_multiplier,crafted_value
c68cb514a10e7978,Common Herb,foraging,loot,,common,component,0.5,5,sp,,A broadly useful medicinal herb found in most temperate regions; treats minor ailments.,icons/consumables/plants/herb-bunch-dried-leaf-green.webp,Arctic / Tundra - Tier 2 Foraging Table; Coastal - Tier 2 Foraging Table; Dense Forest / Jungle - Tier 1 Foraging Table; Desert / Wasteland - Tier 2 Foraging Table; Light Forest - Tier 1 Foraging Table; Light Forest - Tier 2 Foraging Table; Mountain - Tier 2 Foraging Table; Plains / Grassland - Tier 2 Foraging Table; Urban / Ruins - Tier 2 Foraging Table,Common_Herb_c68cb514a10e7978.json,Medicinal ingredient — poultices and healing salves,2,1 gp
7c517b455668fd29,Crystal Fragment,foraging,loot,,uncommon,component,0.5,4,gp,,A piece of natural crystal broken from a cave formation; mildly resonant with magical energy.,icons/commodities/gems/gem-fragments-blue.webp,Underground / Cave - Rare Foraging Table; Underground / Cave - Tier 2 Foraging Table; Underground / Cave - Tier 3 Foraging Table; Urban / Ruins - Rare Foraging Table,Crystal_Fragment_7c517b455668fd29.json,Arcane focus component — items that channel or store magical energy,3,12 gp
03695e81d49528e8,Desert Sage,foraging,loot,,uncommon,component,0.5,1,gp,,Aromatic sage from arid regions; used in purification rituals and antiseptic poultices.,icons/consumables/plants/dried-herb-bundle-brown.webp,Desert / Wasteland - Rare Foraging Table; Desert / Wasteland - Tier 1 Foraging Table; Desert / Wasteland - Tier 2 Foraging Table; Desert / Wasteland - Tier 3 Foraging Table,Desert_Sage_03695e81d49528e8.json,Purification agent — cleansing rituals and antiseptic preparations,3,3 gp
f6c0080b22748d69,Driftwood,foraging,loot,,common,material,3,2,sp,,Smooth weathered wood washed ashore; good for fire or rough carving.,icons/commodities/wood/log-rough-brown.webp,Coastal - Tier 1 Foraging Table; Coastal - Tier 2 Foraging Table; Coastal - Tier 3 Foraging Table,Driftwood_f6c0080b22748d69.json,,,
902cc50eecd2b5aa,Eagle Feather,foraging,loot,,common,material,0.5,4,sp,,A large primary feather from a mountain eagle; prized for fletching and ritual use.,icons/commodities/materials/feather-colored-red.webp,Mountain - Rare Foraging Table; Mountain - Tier 1 Foraging Table; Mountain - Tier 2 Foraging Table; Mountain - Tier 3 Foraging Table,Eagle_Feather_902cc50eecd2b5aa.json,,,
e0a31e2f27e438a7,Edible Tuber,foraging,consumable,food,common,food,1,1,sp,4,A starchy underground tuber that provides solid sustenance when roasted.,icons/consumables/vegetable/root-potato-brown.webp,Light Forest - Tier 1 Foraging Table; Plains / Grassland - Tier 1 Foraging Table; Swamp / Marsh - Tier 1 Foraging Table,Edible_Tuber_e0a31e2f27e438a7.json,,,
76f9adacf4822f80,Firewood Bundle,foraging,loot,,common,material,5,1,sp,,A bundle of dry branches and split wood; enough to sustain a campfire through the night.,icons/commodities/wood/kindling-sticks-brown.webp,Arctic / Tundra - Tier 1 Foraging Table; Arctic / Tundra - Tier 2 Foraging Table; Arctic / Tundra - Tier 3 Foraging Table; Light Forest - Tier 2 Foraging Table; Urban / Ruins - Tier 2 Foraging Table; Urban / Ruins - Tier 3 Foraging Table,Firewood_Bundle_76f9adacf4822f80.json,,,
7dd13533f1c24fda,Foraged Ration,foraging,consumable,food,common,food,1,3,sp,4,A day's worth of foraged plants and fungi bundled together for travel.,icons/consumables/grains/breadsticks-crackers-wrapped-ration-brown.webp,Arctic / Tundra - Tier 3 Foraging Table; Coastal - Tier 3 Foraging Table; Dense Forest / Jungle - Tier 2 Foraging Table; Dense Forest / Jungle - Tier 3 Foraging Table; Light Forest - Tier 1 Foraging Table; Light Forest - Tier 2 Foraging Table; Light Forest - Tier 3 Foraging Table; Mountain - Tier 3 Foraging Table; Plains / Grassland - Tier 2 Foraging Table; Plains / Grassland - Tier 3 Foraging Table; Swamp / Marsh - Tier 2 Foraging Table; Swamp / Marsh - Tier 3 Foraging Table; Underground / Cave - Tier 2 Foraging Table,Foraged_Ration_7dd13533f1c24fda.json,,,
0eba28d9119f6a0d,Fresh Water,foraging,consumable,drink,common,food,1,1,cp,0,A flask of clean water gathered from a stream or natural spring.,icons/consumables/drinks/pitcher-dripping-white.webp,Arctic / Tundra - Tier 1 Foraging Table; Coastal - Tier 1 Foraging Table; Dense Forest / Jungle - Tier 1 Foraging Table; Light Forest - Tier 1 Foraging Table; Mountain - Tier 1 Foraging Table; Plains / Grassland - Tier 1 Foraging Table; Swamp / Marsh - Tier 1 Foraging Table; Underground / Cave - Tier 1 Foraging Table,Fresh_Water_0eba28d9119f6a0d.json,,,
1f41b832835fbdce,Frozen Berries,foraging,consumable,food,common,food,0.5,2,sp,2,Small berries preserved in ice; slightly tart and dense with nutrients.,icons/consumables/fruit/berry-shiny-leaf-blue-teal.webp,Arctic / Tundra - Tier 1 Foraging Table; Arctic / Tundra - Tier 2 Foraging Table; Arctic / Tundra - Tier 3 Foraging Table,Frozen_Berries_1f41b832835fbdce.json,,,
190c9f3fd4ff4b59,Grass Fiber,foraging,loot,,common,material,0.5,1,sp,,Dried long grass braided into cords; fine for light lashing and weaving.,icons/consumables/plants/grass-bundle-green.webp,Plains / Grassland - Rare Foraging Table; Plains / Grassland - Tier 1 Foraging Table; Plains / Grassland - Tier 2 Foraging Table,Grass_Fiber_190c9f3fd4ff4b59.json,,,
5f24e3679317fcfa,Hardwood Branch,foraging,loot,,common,material,3,3,sp,,A dense branch from a mature hardwood tree; useful for tool hafts and structural supports.,icons/commodities/wood/lumber-plank-brown.webp,Light Forest - Tier 3 Foraging Table,Hardwood_Branch_5f24e3679317fcfa.json,,,
90841539dd4494c8,Healing Moss,foraging,loot,,common,component,0.5,5,sp,,Soft absorbent moss with mild antiseptic properties; applied as a wound dressing.,icons/consumables/plants/succulent-bundle-green.webp,Coastal - Tier 3 Foraging Table; Dense Forest / Jungle - Tier 3 Foraging Table; Swamp / Marsh - Tier 1 Foraging Table; Swamp / Marsh - Tier 2 Foraging Table,Healing_Moss_90841539dd4494c8.json,Wound treatment — antiseptic dressings and bandages,2,1 gp
5747cc961efd707c,Ice Moss,foraging,loot,,uncommon,component,0.5,1,gp,,Pale bluish moss that grows near permafrost; prized by cold-climate healers.,icons/consumables/plants/fern-leaf-bundle-green.webp,Arctic / Tundra - Rare Foraging Table; Arctic / Tundra - Tier 1 Foraging Table; Arctic / Tundra - Tier 2 Foraging Table; Arctic / Tundra - Tier 3 Foraging Table,Ice_Moss_5747cc961efd707c.json,Cold-climate remedy — frostbite treatments and warming tonics,3,3 gp
4ec4239ab0babb1b,Jungle Orchid,foraging,loot,,uncommon,component,0.5,5,gp,,An exotic orchid found in tropical undergrowth; highly prized by alchemists and mages.,icons/commodities/flowers/lily-pink.webp,Dense Forest / Jungle - Rare Foraging Table,Jungle_Orchid_4ec4239ab0babb1b.json,Exotic reagent — rare potions and enchantments,3,15 gp
0b0361c2d6932527,Leech,foraging,loot,,common,component,0.5,5,sp,,A live blood-sucking leech used medicinally to reduce swelling and purge toxins.,icons/consumables/plants/sprout-leaf-herb-green.webp,Swamp / Marsh - Rare Foraging Table; Swamp / Marsh - Tier 1 Foraging Table; Swamp / Marsh - Tier 2 Foraging Table,Leech_0b0361c2d6932527.json,Medicinal tool — bloodletting treatments and toxin extraction,2,1 gp
fd8afd047369d807,Medicinal Root,foraging,loot,,common,component,0.5,8,sp,,A dried root with anti-inflammatory properties; sought by herbalists and healers.,icons/consumables/vegetable/root-ginger-brown.webp,Arctic / Tundra - Tier 3 Foraging Table; Desert / Wasteland - Tier 3 Foraging Table; Light Forest - Rare Foraging Table; Light Forest - Tier 3 Foraging Table; Mountain - Tier 3 Foraging Table; Plains / Grassland - Rare Foraging Table; Plains / Grassland - Tier 3 Foraging Table; Swamp / Marsh - Tier 2 Foraging Table; Swamp / Marsh - Tier 3 Foraging Table,Medicinal_Root_fd8afd047369d807.json,Herbal remedy — anti-inflammatory poultices and healing brews,2,1 gp 6 sp
7ae8577f0ba380a6,Menga Leaves,foraging,loot,,uncommon,component,0.5,5,gp,,Large waxy leaves with soporific compounds; the raw material for sleep-inducing draughts.,icons/consumables/plants/leaf-elm-glowing-green.webp,Dense Forest / Jungle - Rare Foraging Table; Dense Forest / Jungle - Tier 2 Foraging Table; Dense Forest / Jungle - Tier 3 Foraging Table,Menga_Leaves_7ae8577f0ba380a6.json,Soporific compound — sleep-inducing draughts and sedatives,3,15 gp
341a87c52604ad81,Mineral Deposit,foraging,loot,,common,material,3,5,sp,,A small chunk of ore-bearing rock chipped from a mountain face; contains trace metal content.,icons/commodities/stone/ore-chunk-grey.webp,Arctic / Tundra - Rare Foraging Table; Desert / Wasteland - Rare Foraging Table; Desert / Wasteland - Tier 3 Foraging Table; Mountain - Rare Foraging Table; Mountain - Tier 2 Foraging Table; Mountain - Tier 3 Foraging Table; Underground / Cave - Rare Foraging Table; Underground / Cave - Tier 3 Foraging Table,Mineral_Deposit_341a87c52604ad81.json,,,
2f259c20aaf0bde0,Mountain Flower,foraging,loot,,uncommon,component,0.5,4,gp,,A hardy alpine bloom found above the treeline; used in cold-weather tonics.,icons/commodities/flowers/cornflower-blue.webp,Arctic / Tundra - Rare Foraging Table; Mountain - Rare Foraging Table; Mountain - Tier 1 Foraging Table; Mountain - Tier 2 Foraging Table; Mountain - Tier 3 Foraging Table,Mountain_Flower_2f259c20aaf0bde0.json,Alpine tonic ingredient — cold-weather remedies and restorative brews,3,12 gp
df59e0fc7cf3d995,Mountain Goat Meat,foraging,consumable,food,common,food,2,5,sp,2,Tough but flavorful meat from a mountain goat; requires slow cooking.,icons/consumables/meat/shank-bone-red.webp,Mountain - Rare Foraging Table; Mountain - Tier 3 Foraging Table,Mountain_Goat_Meat_df59e0fc7cf3d995.json,,,
0c32a310f02318f1,Old Coins,foraging,loot,,common,material,0.5,3,sp,,A scatter of corroded coins found in rubble; worth melting down or cleaning for value.,icons/commodities/currency/coins-assorted-mix-copper-silver-gold.webp,Urban / Ruins - Rare Foraging Table; Urban / Ruins - Tier 1 Foraging Table; Urban / Ruins - Tier 2 Foraging Table; Urban / Ruins - Tier 3 Foraging Table,Old_Coins_0c32a310f02318f1.json,,,
bf3c79d42a668da8,Phosphorescent Moss,foraging,loot,,uncommon,component,0.5,3,gp,,Softly glowing moss harvested from cave walls; used in light-based alchemical reagents.,icons/consumables/plants/kelp-fern-glowing-green.webp,Underground / Cave - Rare Foraging Table; Underground / Cave - Tier 1 Foraging Table; Underground / Cave - Tier 2 Foraging Table; Underground / Cave - Tier 3 Foraging Table,Phosphorescent_Moss_bf3c79d42a668da8.json,Luminescent reagent — light-producing items and alchemical glow compounds,3,9 gp
288acc97f99a4fdd,Pine Nuts,foraging,consumable,food,common,food,0.5,2,sp,4,Hard seeds shaken from pine cones; dense and caloric for cold travel.,icons/consumables/nuts/pine-cone-brown.webp,Arctic / Tundra - Tier 1 Foraging Table; Arctic / Tundra - Tier 2 Foraging Table; Mountain - Tier 1 Foraging Table; Mountain - Tier 2 Foraging Table,Pine_Nuts_288acc97f99a4fdd.json,,,
2dd9aeb5852f1618,Rare Flower,foraging,loot,,uncommon,component,0.5,3,gp,,An unusual bloom found in untamed wilderness; gathered for perfume and alchemical use.,icons/commodities/flowers/lotus-violet.webp,Arctic / Tundra - Rare Foraging Table; Coastal - Rare Foraging Table; Dense Forest / Jungle - Rare Foraging Table; Desert / Wasteland - Rare Foraging Table; Light Forest - Rare Foraging Table; Mountain - Rare Foraging Table; Plains / Grassland - Rare Foraging Table; Swamp / Marsh - Rare Foraging Table; Underground / Cave - Rare Foraging Table; Urban / Ruins - Rare Foraging Table,Rare_Flower_2dd9aeb5852f1618.json,Perfume and alchemical base — fragrant essences and exotic preparations,3,9 gp
af8cfbb0609e2daa,Rope Fiber,foraging,loot,,common,material,1,4,sp,,Strong plant fibers stripped from stalks or vines; can be twisted into serviceable rope.,icons/commodities/cloth/thread-spindle-grey.webp,Dense Forest / Jungle - Tier 3 Foraging Table; Plains / Grassland - Tier 3 Foraging Table,Rope_Fiber_af8cfbb0609e2daa.json,,,
625ea977f56e7877,Salt Crystal,foraging,loot,,common,component,1,3,sp,,A chunk of raw salt from a coastal evaporation pool or mineral seep; useful for preserving food.,icons/commodities/stone/rock-chunk-pumice-white.webp,Coastal - Rare Foraging Table; Coastal - Tier 1 Foraging Table; Coastal - Tier 2 Foraging Table; Coastal - Tier 3 Foraging Table,Salt_Crystal_625ea977f56e7877.json,Preservative — food curing and purification rituals,2,6 sp
e949da453ed4d27e,Salvaged Foodstuffs,foraging,consumable,food,common,food,1,2,sp,3,Partially-preserved food scavenged from ruins or abandoned structures.,icons/consumables/food/bowl-stew-brown.webp,Urban / Ruins - Tier 1 Foraging Table; Urban / Ruins - Tier 2 Foraging Table; Urban / Ruins - Tier 3 Foraging Table,Salvaged_Foodstuffs_e949da453ed4d27e.json,,,
4b18fbfdf0f8f525,Sandstone Chunk,foraging,loot,,common,material,2,2,sp,,A block of fine-grained sandstone; occasionally contains trace minerals useful in alchemy.,icons/commodities/stone/stone-chunk-tan.webp,Desert / Wasteland - Tier 1 Foraging Table; Desert / Wasteland - Tier 2 Foraging Table,Sandstone_Chunk_4b18fbfdf0f8f525.json,,,
60c10a0565093e81,Scorpion Venom,foraging,consumable,poison,rare,component,0.5,8,gp,,Carefully extracted venom from a desert scorpion; potent and sought by poisoners.,icons/consumables/potions/flask-ornate-skull-green.webp,Desert / Wasteland - Rare Foraging Table,Scorpion_Venom_60c10a0565093e81.json,Poison crafting — potent coatings and venomous preparations,5,40 gp
8a94f35b3ff5e165,Seaweed,foraging,consumable,food,common,food,0.5,1,sp,3,Briny strands of dried seaweed; nutritious and useful as a trail supplement.,icons/consumables/plants/kelp-fern-glowing-green.webp,Coastal - Tier 1 Foraging Table; Coastal - Tier 2 Foraging Table,Seaweed_8a94f35b3ff5e165.json,,,
65275564e455791b,Seeds and Grains,foraging,consumable,food,common,food,0.5,1,sp,4,A pouch of gathered wild seeds; not a meal alone but useful mixed into food.,icons/consumables/grains/wheat-gold.webp,Desert / Wasteland - Tier 1 Foraging Table; Plains / Grassland - Tier 1 Foraging Table; Plains / Grassland - Tier 2 Foraging Table; Plains / Grassland - Tier 3 Foraging Table,Seeds_and_Grains_65275564e455791b.json,,,
582decb647301ac5,Shellfish,foraging,consumable,food,common,food,1,4,sp,1,A handful of clams or mussels pried from rocks at the shoreline; salty and filling.,icons/consumables/meat/claw-crab-lobster-red.webp,Coastal - Rare Foraging Table; Coastal - Tier 1 Foraging Table; Coastal - Tier 2 Foraging Table; Coastal - Tier 3 Foraging Table,Shellfish_582decb647301ac5.json,,,
2fecf39d91e896ac,Small Game,foraging,consumable,food,common,food,1,4,sp,2,A small animal â€” rabbit or squirrel â€” field-dressed and ready to cook.,icons/consumables/meat/drumstick-bone-pink.webp,Desert / Wasteland - Tier 2 Foraging Table; Desert / Wasteland - Tier 3 Foraging Table; Light Forest - Rare Foraging Table; Light Forest - Tier 2 Foraging Table; Light Forest - Tier 3 Foraging Table; Mountain - Tier 2 Foraging Table; Plains / Grassland - Rare Foraging Table; Plains / Grassland - Tier 2 Foraging Table; Plains / Grassland - Tier 3 Foraging Table,Small_Game_2fecf39d91e896ac.json,,,
ba0d36d084c53e74,Snow Hare,foraging,consumable,food,common,food,1,5,sp,2,A white-furred arctic hare hunted on the tundra; lean but warming meat.,icons/consumables/meat/hock-leg-pink-brown.webp,Arctic / Tundra - Rare Foraging Table; Arctic / Tundra - Tier 2 Foraging Table; Arctic / Tundra - Tier 3 Foraging Table,Snow_Hare_ba0d36d084c53e74.json,,,
7c9fcb7070cc6f1c,Swamp Gas Flask,foraging,loot,,uncommon,component,0.5,2,gp,,A sealed flask of captured swamp gas; unstable and flammable if exposed to flame.,icons/consumables/potions/bottle-conical-fumes-green.webp,Swamp / Marsh - Rare Foraging Table,Swamp_Gas_Flask_7c9fcb7070cc6f1c.json,Volatile compound — explosive devices and fire-based preparations,3,6 gp
05ca1a027bb9ebcc,Swamp Moss,foraging,loot,,common,component,0.5,8,sp,,Thick spongy moss from boggy soil; absorbs toxins and is used in antidote crafting.,icons/consumables/plants/sprout-glowing-roots-green.webp,Swamp / Marsh - Tier 1 Foraging Table; Swamp / Marsh - Tier 2 Foraging Table; Swamp / Marsh - Tier 3 Foraging Table,Swamp_Moss_05ca1a027bb9ebcc.json,Antidote ingredient — detoxifying poultices and poison remedies,2,1 gp 6 sp
c59bb1509bc5aa38,Tree Resin,foraging,loot,,common,material,1,4,sp,,Thick amber-colored sap collected from conifers; useful as a sealant and fire starter.,icons/commodities/materials/liquid-orange.webp,Light Forest - Rare Foraging Table,Tree_Resin_c59bb1509bc5aa38.json,,,
2bee8d09feb5845c,Tropical Fruit,foraging,consumable,food,common,food,0.5,3,sp,3,A brightly colored jungle fruit with sweet pulp and high sugar content.,icons/consumables/fruit/mango-ripe-orange.webp,Dense Forest / Jungle - Rare Foraging Table; Dense Forest / Jungle - Tier 1 Foraging Table; Dense Forest / Jungle - Tier 2 Foraging Table; Dense Forest / Jungle - Tier 3 Foraging Table,Tropical_Fruit_2bee8d09feb5845c.json,,,
c219f6b6a37021e8,Useful Scraps,foraging,loot,,common,material,2,2,sp,,Assorted salvaged metal and wood bits gathered from ruins; handy for repairs and improvisation.,icons/commodities/cloth/cloth-scraps-plain.webp,Urban / Ruins - Rare Foraging Table; Urban / Ruins - Tier 1 Foraging Table; Urban / Ruins - Tier 2 Foraging Table; Urban / Ruins - Tier 3 Foraging Table,Useful_Scraps_c219f6b6a37021e8.json,,,
3438605e4fbc7a3a,Vine Cord,foraging,loot,,common,material,1,3,sp,,"A length of tough jungle vine; flexible, water-resistant, and surprisingly strong.",icons/consumables/plants/thorned-stem-vine-green.webp,Dense Forest / Jungle - Rare Foraging Table; Dense Forest / Jungle - Tier 1 Foraging Table; Dense Forest / Jungle - Tier 2 Foraging Table,Vine_Cord_3438605e4fbc7a3a.json,,,
8725bc0852c1e6c0,Wild Berries,foraging,consumable,food,common,food,0.5,1,sp,2,A handful of tart wild berries plucked from a roadside bush; tart but nourishing.,icons/consumables/fruit/berry-bunch-red-green.webp,Light Forest - Tier 1 Foraging Table; Light Forest - Tier 2 Foraging Table; Mountain - Tier 1 Foraging Table,Wild_Berries_8725bc0852c1e6c0.json,,,
d8a8b3b854ed121c,Wild Mushroom,foraging,consumable,food,common,food,0.5,2,sp,3,A single firm mushroom with savory flavor; safe to eat and lightly filling.,icons/consumables/mushrooms/mushroom-spotted-red.webp,Dense Forest / Jungle - Tier 2 Foraging Table; Light Forest - Rare Foraging Table; Light Forest - Tier 3 Foraging Table; Swamp / Marsh - Rare Foraging Table; Swamp / Marsh - Tier 2 Foraging Table; Swamp / Marsh - Tier 3 Foraging Table,Wild_Mushroom_d8a8b3b854ed121c.json,,,
a9deb103abc3c59a,Wild Roots,foraging,consumable,food,common,food,1,1,sp,4,Thick starchy roots dug from soft earth; chewy and earthy in flavor.,icons/consumables/vegetable/root-ginger-yellow.webp,Plains / Grassland - Rare Foraging Table; Plains / Grassland - Tier 1 Foraging Table; Plains / Grassland - Tier 2 Foraging Table; Plains / Grassland - Tier 3 Foraging Table,Wild_Roots_a9deb103abc3c59a.json,,,
4cd12fc82baa7f76,Willow Bark,foraging,loot,,common,component,0.5,8,sp,,Strips of bark known to reduce fever and dull pain when brewed into tea.,icons/commodities/wood/bark-beige.webp,Dense Forest / Jungle - Tier 2 Foraging Table; Light Forest - Tier 2 Foraging Table,Willow_Bark_4cd12fc82baa7f76.json,Analgesic ingredient — pain-relieving teas and fever remedies,2,1 gp 6 sp
a3f1c72e8b4d09a6,Fresh River Water,foraging,consumable,drink,common,food,1,1,cp,0,Cool water scooped from a clear-running river; tastes faintly of stone and earth.,icons/consumables/drinks/pitcher-dripping-white.webp,Light Forest - Tier 1 Foraging Table; Mountain - Tier 1 Foraging Table; Plains / Grassland - Tier 1 Foraging Table,Fresh_River_Water_a3f1c72e8b4d09a6.json,,,
b7e2d815f0c63a49,Captured Rainwater,foraging,consumable,drink,common,food,1,1,cp,0,Rainwater funneled into a flask using broad leaves; pure and slightly sweet.,icons/consumables/drinks/glass-water-blue.webp,Coastal - Tier 1 Foraging Table; Dense Forest / Jungle - Tier 1 Foraging Table; Plains / Grassland - Tier 1 Foraging Table; Swamp / Marsh - Tier 1 Foraging Table,Captured_Rainwater_b7e2d815f0c63a49.json,,,
c9d4a6f3e1b27085,Snowmelt,foraging,consumable,drink,common,food,1,1,cp,0,Melted snow gathered in a pot over a small fire; clean but flat and tasteless.,icons/consumables/drinks/flask-blue.webp,Arctic / Tundra - Tier 1 Foraging Table; Arctic / Tundra - Tier 2 Foraging Table; Mountain - Tier 1 Foraging Table; Mountain - Tier 2 Foraging Table,Snowmelt_c9d4a6f3e1b27085.json,,,
d5e8b1a4c7f930d2,Spring Water,foraging,consumable,drink,common,food,1,2,cp,0,Water bubbling up from a natural spring; crisp and mineral-rich.,icons/consumables/drinks/water-jug-clay-brown.webp,Light Forest - Tier 2 Foraging Table; Mountain - Tier 2 Foraging Table; Underground / Cave - Tier 1 Foraging Table; Underground / Cave - Tier 2 Foraging Table,Spring_Water_d5e8b1a4c7f930d2.json,,,
e6f9c2b5d8a041e3,Cave Drip Water,foraging,consumable,drink,common,food,1,1,cp,0,Water slowly filtered through limestone and collected drop by drop; cool with a faint mineral taste.,icons/consumables/drinks/cup-clay-brown.webp,Underground / Cave - Tier 1 Foraging Table; Underground / Cave - Tier 2 Foraging Table; Underground / Cave - Tier 3 Foraging Table,Cave_Drip_Water_e6f9c2b5d8a041e3.json,,,
f7a0d3c6e9b152f4,Brackish Water,foraging,consumable,drink,common,food,1,1,cp,0,Murky water with a faint salty tang; drinkable but unpleasant and best boiled first.,icons/consumables/drinks/glass-water-blue.webp,Coastal - Tier 1 Foraging Table; Swamp / Marsh - Tier 1 Foraging Table; Swamp / Marsh - Tier 2 Foraging Table,Brackish_Water_f7a0d3c6e9b152f4.json,,,
